Edades,Hombres,Mujeres
00 a¤os,2735,2674
01 a¤os,3227,2960
02 a¤os,3525,3386
03 a¤os,3733,3723
04 a¤os,3858,3801
05 a¤os,4018,3903
06 a¤os,3531,3523
07 a¤os,3741,3535
08 a¤os,3733,3746
09 a¤os,3519,3468
10 a¤os,4157,3893
11 a¤os,3629,3573
12 a¤os,4163,3752
13 a¤os,3675,3758
14 a¤os,3705,3809
15 a¤os,4018,3955
16 a¤os,3880,3728
17 a¤os,4220,3996
18 a¤os,4468,4245
19 a¤os,3642,3781
20 a¤os,4475,4516
21 a¤os,3785,3551
22 a¤os,4156,4177
23 a¤os,3889,3912
24 a¤os,3969,4014
25 a¤os,4501,4525
26 a¤os,3834,4091
27 a¤os,3916,4073
28 a¤os,4426,4416
29 a¤os,3668,3959
30 a¤os,5026,5372
31 a¤os,3130,3255
32 a¤os,4287,4567
33 a¤os,3715,3756
34 a¤os,3447,3807
35 a¤os,4474,4773
36 a¤os,3940,4208
37 a¤os,3229,3699
38 a¤os,4277,4477
39 a¤os,3312,3728
40 a¤os,4983,5417
41 a¤os,2581,3063
42 a¤os,4065,4547
43 a¤os,3232,3756
44 a¤os,2862,3236
45 a¤os,4475,4777
46 a¤os,3245,3602
47 a¤os,3244,3712
48 a¤os,3396,3872
49 a¤os,2862,3498
50 a¤os,4170,4786
51 a¤os,2291,2704
52 a¤os,3358,3801
53 a¤os,2807,3219
54 a¤os,2838,3323
55 a¤os,2957,3466
56 a¤os,2994,3433
57 a¤os,2334,2722
58 a¤os,2771,3285
59 a¤os,2387,2677
60 a¤os,3368,3894
61 a¤os,1921,2088
62 a¤os,2370,2919
63 a¤os,2293,2730
64 a¤os,2014,2386
65 a¤os,2586,2990
66 a¤os,1614,1906
67 a¤os,1636,1897
68 a¤os,1865,2208
69 a¤os,1419,1576
70 a¤os,1668,2016
71 a¤os,971,1103
72 a¤os,1418,1599
73 a¤os,1081,1248
74 a¤os,972,1210
75 a¤os,959,1132
76 a¤os,888,894
77 a¤os,623,698
78 a¤os,715,797
79 a¤os,567,640
80 a¤os,580,782
81 a¤os,375,381
82 a¤os,459,520
83 a¤os,370,425
84 a¤os,272,403
85 a¤os,272,407
86 a¤os,199,286
87 a¤os,149,253
88 a¤os,116,206
89 a¤os,126,182
90 a¤os,119,203
91 a¤os,48,89
92 a¤os,47,103
93 a¤os,41,85
94 a¤os,44,87
95 a¤os,22,59
96 a¤os,15,38
97 a¤os,15,30
98 a¤os,15,25
99 a¤os,9,20
100 a¤os y m s,13,43
No especificado,690,706
